incident_id,date,time,operator_name,machine_id,severity,operator_badge,comment,shift,type_surchauffe,type_baisse_pression,type_vibration,type_bruit_mecanique,type_surconsommation,type_blocage_mecanique,type_alarme_capteur,type_arret_urgence,type_defaut_qualite
INC-000001,2025-06-01,05:42,Lucas Bernard,MACH-06,4,OP1002,chauffe anormale,nuit,1,0,0,0,0,0,0,0,0
INC-000002,2025-06-01,21:08,Hugo Thomas,MACH-15,3,OP1004,micro-fuite / baisse pression,apres-midi,0,1,0,0,0,0,0,0,0
INC-000003,2025-06-02,05:43,Lucas Bernard,MACH-10,2,OP1002,défaut capteur confirmé,nuit,0,0,0,0,0,0,1,0,0
INC-000004,2025-06-03,05:43,Sophie Leclerc,MACH-10,3,OP1006,signal capteur hors plage,nuit,0,0,0,0,0,0,1,0,0
INC-000005,2025-06-04,01:01,Marie Dupont,MACH-14,2,OP1001,alerte température haute,nuit,1,0,0,0,0,0,0,0,0
INC-000006,2025-06-04,05:43,Lucas Bernard,MACH-10,4,OP1002,alarme capteur,nuit,0,0,0,0,0,0,1,0,0
INC-000007,2025-06-04,22:24,Chloé Robert,MACH-01,3,OP1005,surchauffe capteur thermique,nuit,1,0,0,0,0,0,0,0,0
INC-000008,2025-06-05,01:01,Lucas Bernard,MACH-14,3,OP1002,montée thermique progressive,nuit,1,0,0,0,0,0,0,0,0
INC-000009,2025-06-06,01:01,Lucas Bernard,MACH-14,4,OP1002,chauffe anormale,nuit,1,0,0,0,0,0,0,0,0
INC-000010,2025-06-07,00:56,Camille Martin,MACH-13,3,OP1001,bruit mécanique anormal,nuit,0,0,0,1,0,0,0,0,0
INC-000011,2025-06-08,09:10,Nathan Richard,MACH-06,3,OP1006,chauffe anormale,matin,1,0,0,0,0,0,0,0,0
INC-000012,2025-06-09,03:34,Emma Dubois,MACH-10,3,OP1003,alarme capteur,nuit,0,0,0,0,0,0,1,0,0
INC-000013,2025-06-10,01:11,Chloé Robert,MACH-03,3,OP1005,alarme capteur active,nuit,0,0,0,0,0,0,1,0,0
INC-000014,2025-06-11,14:54,Jules Moreau,MACH-01,3,OP1010,bruit mécanique anormal,apres-midi,0,0,0,1,0,0,0,0,0
INC-000015,2025-06-11,18:38,Hugo Thomas,MACH-01,2,OP1004,vibrations excessives détectées,apres-midi,0,0,1,0,0,0,0,0,0
INC-000016,2025-06-11,18:43,Lucas Bernard,MACH-01,2,OP1002,vibration anormale roulement,apres-midi,0,0,1,0,0,0,0,0,0
INC-000017,2025-06-12,04:17,Sophie Leclerc,MACH-06,2,OP1006,défaut capteur confirmé,nuit,0,0,0,0,0,0,1,0,0
INC-000018,2025-06-12,04:46,Camille Martin,MACH-15,3,OP1001,vibration excessive,nuit,0,0,1,0,0,0,0,0,0
INC-000019,2025-06-12,09:25,Marie Dupont,MACH-13,3,OP1001,circuit hydraulique en défaut,matin,0,1,0,0,0,0,0,0,0
INC-000020,2025-06-12,09:48,Pierre Martin,MACH-13,2,OP1003,baisse pression hydraulique,matin,0,1,0,0,0,0,0,0,0
INC-000021,2025-06-12,10:27,Emma Dubois,MACH-07,3,OP1003,alarme capteur,matin,0,0,0,0,0,0,1,0,0
INC-000022,2025-06-12,11:15,Pierre Martin,MACH-01,2,OP1003,oscillations hors tolérance,matin,0,0,1,0,0,0,0,0,0
INC-000023,2025-06-12,18:38,Pierre Martin,MACH-01,3,OP1003,vibration anormale roulement,apres-midi,0,0,1,0,0,0,0,0,0
